Symbol,Market,Name,Sector,Industry,ListingDate
A060310,KOSDAQ,3S,전자부품 제조업,반도체 웨이퍼 캐리어,2002-04-23
A095570,KOSPI,AJ네트웍스,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",2015-08-21
A006840,KOSPI,AK홀딩스,기타 금융업,지주사업,1999-08-11
A054620,KOSDAQ,APS홀딩스,기타 금융업,인터넷 트래픽 솔루션,2001-12-04
A265520,KOSDAQ,AP시스템,특수 목적용 기계 제조업,디스플레이 제조 장비,2017-04-07
A211270,KOSDAQ,AP위성,통신 및 방송 장비 제조업,위성통신 단말기,2016-03-04
A152100,KOSPI,ARIRANG 200,,,
A295820,KOSPI,ARIRANG 200동일가중,,,
A253150,KOSPI,ARIRANG 200선물레버리지,,,
A253160,KOSPI,ARIRANG 200선물인버스2X,,,
A395750,KOSPI,ARIRANG ESG가치주액티브,,,
A395760,KOSPI,ARIRANG ESG성장주액티브,,,
A278420,KOSPI,ARIRANG ESG우수기업,,,
A429740,KOSPI,ARIRANG Fn K리츠,,,
A436180,KOSPI,ARIRANG K-유니콘투자기업액티브,,,
A292750,KOSPI,ARIRANG KRX300,,,
A309210,KOSPI,ARIRANG KRX300헬스케어,,,
A333940,KOSPI,ARIRANG KS로우볼가중TR,,,
A333950,KOSPI,ARIRANG KS로우사이즈가중TR,,,
A333960,KOSPI,ARIRANG KS모멘텀가중TR,,,
A333970,KOSPI,ARIRANG KS밸류가중TR,,,
A333980,KOSPI,ARIRANG KS퀄리티가중TR,,,
A269530,KOSPI,ARIRANG S&P글로벌인프라,,,
A433850,KOSPI,ARIRANG TDF2030액티브,,,
A433860,KOSPI,ARIRANG TDF2040액티브,,,
A433870,KOSPI,ARIRANG TDF2050액티브,,,
A433880,KOSPI,ARIRANG TDF2060액티브,,,
A421320,KOSPI,ARIRANG iSelect우주항공&UAM,,,
A251590,KOSPI,ARIRANG 고배당저변동50,,,
A161510,KOSPI,ARIRANG 고배당주,,,
A251600,KOSPI,ARIRANG 고배당주채권혼합,,,
A289670,KOSPI,ARIRANG 국채선물10년,,,
A298340,KOSPI,ARIRANG 국채선물3년,,,
A442580,KOSPI,ARIRANG 글로벌D램반도체iSelect,,,
A189400,KOSPI,ARIRANG 글로벌MSCI(합성 H),,,
A419650,KOSPI,ARIRANG 글로벌수소&차세대연료전지MV,,,
A438210,KOSPI,ARIRANG 글로벌인공지능산업MV,,,
A415920,KOSPI,ARIRANG 글로벌희토류전략자원기업MV,,,
A278620,KOSPI,ARIRANG 단기채권액티브,,,
A429760,KOSPI,ARIRANG 미국S&P500,,,
A269540,KOSPI,ARIRANG 미국S&P500(H),,,
A287180,KOSPI,ARIRANG 미국나스닥테크,,,
A213630,KOSPI,ARIRANG 미국다우존스고배당주(합성 H),,,
A332610,KOSPI,ARIRANG 미국단기우량회사채,,,
A426410,KOSPI,ARIRANG 미국대체투자Top10MV,,,
A332620,KOSPI,ARIRANG 미국장기우량회사채,,,
A195970,KOSPI,ARIRANG 선진국MSCI(합성 H),,,
A238670,KOSPI,ARIRANG 스마트베타Quality채권혼합,,,
A195980,KOSPI,ARIRANG 신흥국MSCI(합성 H),,,
A373530,KOSPI,ARIRANG 신흥국MSCI인버스(합성 H),,,
A256450,KOSPI,ARIRANG 심천차이넥스트(합성),,,
A239660,KOSPI,ARIRANG 우량회사채50 1년,,,
A280920,KOSPI,ARIRANG 주도업종,,,
A266550,KOSPI,ARIRANG 중형주저변동50,,,
A301400,KOSPI,ARIRANG 코스닥150,,,
A301410,KOSPI,ARIRANG 코스닥150선물인버스,,,
A227830,KOSPI,ARIRANG 코스피,,,
A122090,KOSPI,ARIRANG 코스피50,,,
A328370,KOSPI,ARIRANG 코스피TR,,,
A301440,KOSPI,ARIRANG 코스피중형주,,,
A376250,KOSPI,ARIRANG 탄소효율그린뉴딜,,,
A027410,KOSPI,BGF,기타 금융업,지주회사,2014-05-19
A282330,KOSPI,BGF리테일,종합 소매업,체인화 편의점,2017-12-08
A032790,KOSDAQ,BNGT,기계장비 및 관련 물품 도매업,"Bio 이종장기 사업, ICT 프린터 현상기",1997-06-26
A138930,KOSPI,BNK금융지주,기타 금융업,금융지주회사,2011-03-30
A001460,KOSPI,BYC,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",1975-06-02
A001465,KOSPI,BYC우,,,
A013720,KOSDAQ,CBI,자동차 신품 부품 제조업,엔진부품,1993-12-29
A001040,KOSPI,CJ,기타 금융업,지주회사,1973-06-29
A079160,KOSPI,CJ CGV,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",2004-12-24
A035760,KOSDAQ,CJ ENM,텔레비전 방송업,"의류, 생활주방, 가전제품, 보석, 기타",1999-11-23
A311690,KOSDAQ,CJ 바이오사이언스,자연과학 및 공학 연구개발업,"생명정보 플랫폼, 마이크로바이옴 분석 서비스",2019-12-26
A00104K,KOSPI,CJ4우(전환),,,
A000120,KOSPI,CJ대한통운,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",1956-07-02
A011150,KOSPI,CJ씨푸드,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",1988-11-26
A011155,KOSPI,CJ씨푸드1우,,,
A001045,KOSPI,CJ우,,,
A097950,KOSPI,CJ제일제당,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",2007-09-28
A097955,KOSPI,CJ제일제당 우,,,
A051500,KOSDAQ,CJ프레시웨이,음·식료품 및 담배 도매업,"식자재유통, 단체급식",2001-07-26
A058820,KOSDAQ,CMG제약,의약품 제조업,의약품,2001-08-31
A023460,KOSDAQ,CNH,신탁업 및 집합투자업,투자자문,1994-10-07
A056730,KOSDAQ,CNT85,건물설비 설치 공사업,산업설비 제조외,2002-01-04
A065770,KOSDAQ,CS,통신 및 방송 장비 제조업,"이동통신중계기, 위성방송(DMB)중계기(Gap-Filler)",2004-06-04
A083660,KOSDAQ,CSA 코스믹,기타 화학제품 제조업,화장품 제조 및 판매,2006-07-25
A000590,KOSPI,CS홀딩스,기타 금융업,"브랜드 수익, 자회사 배당",1975-12-22
A012030,KOSPI,DB,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리",1993-01-06
A404950,KOSDAQ,DB금융스팩10호,기타 금융업,인수목적,2022-01-20
A367340,KOSDAQ,DB금융스팩8호,기타 금융업,기업인수 및 합병,2020-12-09
A367360,KOSDAQ,DB금융스팩9호,금융 지원 서비스업,기업인수 및 합병,2021-03-16
A016610,KOSPI,DB금융투자,금융 지원 서비스업,"유가증권,위탁매매,인수,자기매매",1988-06-27
A005830,KOSPI,DB손해보험,보험업,"자동차보험,화재보험,해상보험,특종보험,장기보험",1973-06-28
A000990,KOSPI,DB하이텍,반도체 제조업,반도체 제조,1975-12-12
A000995,KOSPI,DB하이텍1우,,,
A139130,KOSPI,DGB금융지주,기타 금융업,지주회사,2011-06-07
